GrLivArea,MSZoning,Exterior2nd,Exterior1st,BsmtQual,Foundation,ExterQual,HouseStyle,OverallQual,GarageCars,YearBuilt,TotalBsmtSF,FullBath,1stFlrSF,SalePrice
1710,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2003,856,2,856,208500
1262,RL,MetalSd,MetalSd,Gd,CBlock,TA,1Story,6,2,1976,1262,2,1262,181500
1786,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,7,2,2001,920,2,920,223500
1717,RL,Wd Shng,Wd Sdng,TA,BrkTil,TA,2Story,7,3,1915,756,1,961,140000
2198,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,8,3,2000,1145,2,1145,250000
1362,RL,VinylSd,VinylSd,Gd,Wood,TA,1.5Fin,5,2,1993,796,1,796,143000
1694,RL,VinylSd,VinylSd,Ex,PConc,Gd,1Story,8,2,2004,1686,2,1694,307000
2090,RL,HdBoard,HdBoard,Gd,CBlock,TA,2Story,7,2,1973,1107,2,1107,200000
1774,RM,Wd Shng,BrkFace,TA,BrkTil,TA,1.5Fin,7,2,1931,952,2,1022,129900
1077,RL,MetalSd,MetalSd,TA,BrkTil,TA,1.5Unf,5,1,1939,991,1,1077,118000
1040,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5,1,1965,1040,1,1040,129500
2324,RL,Wd Shng,WdShing,Ex,PConc,Ex,2Story,9,3,2005,1175,3,1182,345000
912,RL,Plywood,HdBoard,TA,CBlock,TA,1Story,5,1,1962,912,1,912,144000
1494,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7,3,2006,1494,2,1494,279500
1253,RL,MetalSd,MetalSd,TA,CBlock,TA,1Story,6,1,1960,1253,1,1253,157000
854,RM,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Unf,7,2,1929,832,1,854,132000
1004,RL,Wd Sdng,Wd Sdng,TA,CBlock,TA,1Story,6,2,1970,1004,1,1004,149000
1296,RL,MetalSd,MetalSd,,Slab,TA,1Story,4,2,1967,0,2,1296,90000
1114,RL,VinylSd,VinylSd,TA,PConc,TA,1Story,5,2,2004,1114,1,1114,159000
