GrLivArea,MSZoning,Exterior2nd,Exterior1st,BsmtQual,Foundation,ExterQual,HouseStyle,OverallQual,GarageCars,YearBuilt,TotalBsmtSF,FullBath,1stFlrSF,SalePrice
1571.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6.0,2.0,1993.0,799.0,2.0,799.0,178000.0
796.0,RL,Wd Sdng,MetalSd,Fa,CBlock,TA,1Story,5.0,0.0,1910.0,796.0,1.0,796.0,85000.0
1768.0,RL,Wd Sdng,Wd Sdng,Gd,BrkTil,TA,1.5Fin,5.0,1.0,1937.0,731.0,1.0,981.0,175000.0
1691.0,RL,Wd Sdng,BrkFace,TA,BrkTil,TA,1.5Fin,5.0,1.0,1924.0,1026.0,2.0,1026.0,127000.0
894.0,RL,VinylSd,VinylSd,TA,PConc,TA,1Story,5.0,2.0,1972.0,894.0,1.0,894.0,149900.0
1560.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6.0,2.0,2005.0,684.0,2.0,684.0,174000.0
1154.0,RM,VinylSd,VinylSd,TA,BrkTil,TA,1.5Fin,4.0,1.0,1922.0,796.0,1.0,796.0,125500.0
1422.0,RL,MetalSd,MetalSd,Gd,CBlock,TA,1Story,6.0,2.0,1981.0,1422.0,2.0,1422.0,175500.0
1496.0,RL,CmentBd,CemntBd,Gd,PConc,Gd,1Story,8.0,2.0,2007.0,1496.0,2.0,1496.0,225000.0
913.0,RL,VinylSd,VinylSd,TA,CBlock,TA,SFoyer,6.0,1.0,1966.0,814.0,1.0,913.0,129000.0
1086.0,RL,VinylSd,VinylSd,TA,CBlock,TA,SLvl,5.0,2.0,1966.0,1024.0,1.0,1086.0,159950.0
1601.0,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,7.0,2.0,1978.0,1271.0,2.0,1601.0,157000.0
1986.0,RL,HdBoard,HdBoard,TA,CBlock,TA,2Story,7.0,2.0,1965.0,768.0,2.0,1186.0,205000.0
1164.0,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,7.0,2.0,1969.0,1164.0,1.0,1164.0,140000.0
2267.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6.0,2.0,2002.0,1010.0,2.0,1010.0,200000.0
2259.0,RL,Wd Sdng,Wd Sdng,Gd,CBlock,TA,1Story,6.0,2.0,1953.0,1809.0,2.0,2259.0,217000.0
825.0,RM,MetalSd,MetalSd,TA,CBlock,TA,1Story,5.0,2.0,1955.0,825.0,1.0,825.0,125000.0
1426.0,RL,Plywood,HdBoard,TA,CBlock,TA,2Story,6.0,2.0,1977.0,690.0,1.0,698.0,159500.0
1651.0,RL,Plywood,VinylSd,Gd,CBlock,TA,1Story,6.0,2.0,1986.0,1606.0,2.0,1651.0,184000.0
789.0,RL,Wd Sdng,Wd Sdng,TA,BrkTil,TA,1.5Unf,5.0,1.0,1926.0,768.0,1.0,789.0,96500.0
2634.0,RL,MetalSd,MetalSd,TA,CBlock,TA,2Story,5.0,4.0,1969.0,1248.0,2.0,1338.0,200000.0
1576.0,RM,MetalSd,MetalSd,TA,BrkTil,TA,1.5Fin,5.0,1.0,1928.0,1042.0,1.0,1042.0,149000.0
1484.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,2Story,6.0,2.0,2005.0,783.0,2.0,783.0,178900.0
1200.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2003.0,1176.0,2.0,1200.0,184900.0
1250.0,FV,MetalSd,MetalSd,Gd,PConc,Gd,2Story,7.0,2.0,2006.0,625.0,2.0,625.0,164700.0
1902.0,RL,HdBoard,BrkFace,Gd,PConc,Gd,1Story,7.0,2.0,1959.0,1902.0,2.0,1902.0,335000.0
1040.0,RL,Stucco,Stucco,,Slab,TA,1Story,3.0,2.0,1949.0,0.0,2.0,1040.0,87500.0
1502.0,RL,VinylSd,VinylSd,Gd,PConc,Gd,1Story,7.0,2.0,2009.0,1502.0,2.0,1502.0,233170.0
1228.0,RL,HdBoard,HdBoard,TA,CBlock,TA,1Story,5.0,1.0,1966.0,1228.0,1.0,1228.0,149350.0
1268.0,RL,HdBoard,HdBoard,TA,CBlock,Gd,1Story,5.0,1.0,1949.0,832.0,1.0,1036.0,133000.0
864.0,RL,Stucco,Stucco,TA,CBlock,TA,1Story,5.0,0.0,1925.0,864.0,1.0,864.0,98000.0
1686.0,RL,Plywood,Plywood,Gd,CBlock,TA,1Story,6.0,2.0,1980.0,1686.0,2.0,1686.0,207500.0
