iter	Passed	Remaining
0	131	131189
1	134	67237
2	137	45532
3	138	34596
4	140	27911
5	141	23425
6	142	20215
7	143	17808
8	144	15952
9	145	14445
10	147	13241
11	148	12214
12	149	11356
13	150	10612
14	151	9962
15	152	9400
16	153	8904
17	154	8454
18	156	8061
19	157	7719
20	158	7398
21	159	7104
22	161	6847
23	162	6607
24	163	6380
25	164	6170
26	165	5976
27	166	5795
28	168	5630
29	169	5479
30	170	5330
31	171	5193
32	172	5062
33	173	4939
34	175	4826
35	176	4727
36	177	4624
37	178	4531
38	180	4436
39	181	4350
40	182	4267
41	183	4187
42	184	4110
43	185	4038
44	187	3971
45	188	3904
46	189	3840
47	190	3780
48	191	3720
49	192	3663
50	193	3608
51	195	3556
52	196	3508
53	197	3462
54	198	3414
55	199	3368
56	200	3324
57	202	3282
58	203	3242
59	204	3204
60	205	3166
61	206	3129
62	208	3093
63	209	3064
64	210	3034
65	212	3003
66	213	2972
67	214	2942
68	215	2913
69	217	2883
70	218	2854
71	219	2826
72	220	2798
73	221	2771
74	222	2744
75	223	2722
76	225	2698
77	226	2672
78	227	2649
79	228	2626
80	229	2603
81	230	2580
82	231	2558
83	232	2537
84	233	2516
85	234	2495
86	235	2475
87	237	2456
88	238	2437
89	239	2418
90	240	2401
91	241	2385
92	242	2367
93	243	2351
94	245	2334
95	246	2318
96	247	2302
97	248	2287
98	249	2271
99	250	2256
100	251	2238
101	252	2223
102	254	2212
103	255	2199
104	256	2185
105	257	2171
106	258	2156
107	259	2144
108	260	2131
109	261	2118
110	263	2106
111	264	2095
112	265	2084
113	266	2072
114	267	2060
115	268	2048
116	269	2037
117	271	2027
118	272	2016
119	273	2004
120	274	1995
121	275	1984
122	276	1973
123	277	1963
124	279	1954
125	280	1945
126	281	1935
127	282	1925
128	283	1915
129	284	1905
130	285	1896
131	287	1887
132	288	1877
133	289	1869
134	290	1859
135	291	1853
136	292	1845
137	294	1837
138	295	1829
139	296	1821
140	297	1812
141	298	1804
142	299	1796
143	300	1788
144	302	1781
145	303	1774
146	304	1767
147	305	1759
148	306	1752
149	307	1744
150	309	1737
151	310	1729
152	311	1723
153	312	1716
154	313	1709
155	314	1702
156	315	1696
157	317	1690
158	318	1682
159	318	1674
160	320	1668
161	321	1661
162	322	1655
163	323	1648
164	324	1642
165	325	1636
166	326	1629
167	327	1623
168	328	1617
169	329	1610
170	331	1606
171	332	1601
172	333	1596
173	335	1590
174	336	1585
175	337	1579
176	338	1573
177	339	1567
178	340	1561
179	341	1556
180	342	1550
181	343	1545
182	345	1540
183	346	1537
184	347	1532
185	348	1526
186	350	1521
187	351	1516
188	352	1510
189	353	1505
190	354	1500
191	355	1495
192	356	1490
193	357	1485
194	358	1478
195	359	1473
196	360	1469
197	361	1464
198	362	1459
199	363	1454
200	364	1450
201	365	1445
202	367	1441
203	368	1436
204	369	1432
205	370	1427
206	371	1422
207	372	1418
208	373	1413
209	374	1409
210	379	1420
211	380	1416
212	382	1411
213	383	1407
214	384	1403
215	385	1398
216	386	1394
217	387	1390
218	388	1386
219	389	1382
220	391	1379
221	392	1375
222	393	1371
223	394	1367
224	395	1363
225	396	1358
226	397	1354
227	398	1350
228	400	1347
229	401	1342
230	402	1338
231	403	1335
232	404	1331
233	405	1327
234	406	1323
235	407	1320
236	409	1316
237	410	1313
238	411	1309
239	412	1305
240	413	1302
241	414	1299
242	416	1296
243	417	1293
